rgn_id,species,year,price (xpf),,,,,,,
1,thon blanc,2011,1300,,,,,,,
1,thon blanc,2012,1300,,,,,,,
1,thon blanc,2013,1300,,,,,,,
1,thon blanc,2014,1320,,,,,,,
1,thon blanc,2015,1310,,,,,,,
1,thon jaune,2011,2260,,,,,,,
1,thon jaune,2012,2270,,,,,,,
1,thon jaune,2013,2280,,,,,,,
1,thon jaune,2014,2280,,,,,,,
1,thon jaune,2015,2270,,,,,,,
1,thon obèse,2011,2910,,,,,,,
1,thon obèse,2012,2910,,,,,,,
1,thon obèse,2013,2810,,,,,,,
1,thon obèse,2014,2830,,,,,,,
1,thon obèse,2015,2820,,,,,,,
1,espadon,2011,1980,,,,,,,
1,espadon,2012,1980,,,,,,,
1,espadon,2013,1970,,,,,,,
1,espadon,2014,1940,,,,,,,
1,espadon,2015,1920,,,,,,,
1,marlin,2011,1680,,,,,,,
1,marlin,2012,1690,,,,,,,
1,marlin,2013,1630,,,,,,,
1,marlin,2014,1560,,,,,,,
1,marlin,2015,1470,,,,,,,
1,wahoo,2011,1800,,,,,,,
1,wahoo,2012,1740,,,,,,,
1,wahoo,2013,1680,,,,,,,
1,wahoo,2014,1660,,,,,,,
1,wahoo,2015,1530,,,,,,,
1,saumon des dieux,2011,1950,,,,,,,
1,saumon des dieux,2012,1970,,,,,,,
1,saumon des dieux,2013,1970,,,,,,,
1,saumon des dieux,2014,1960,,,,,,,
1,saumon des dieux,2015,1940,,,,,,,
1,mahi mahi,2011,2640,,,,,,,
1,mahi mahi,2012,2580,,,,,,,
1,mahi mahi,2013,2640,,,,,,,
1,mahi mahi,2014,2500,,,,,,,
1,mahi mahi,2015,2490,,,,,,,
