rgn_id, Species Name,Year,Count,,,,
1,ALBACORE,2015,2861,,,,
1,ALBACORE,2014,7592,,,,
1,ALBACORE,2013,5257,,,,
1,ALBACORE,2012,4866,,,,
1,ALBACORE,2011,5952,,,,
1,BIGEYE,2015,67,,,,
1,BIGEYE,2014,134,,,,
1,BIGEYE,2013,103,,,,
1,BIGEYE,2012,64,,,,
1,BIGEYE,2011,102,,,,
1,BLACK MARLIN,2015,23,,,,
1,BLACK MARLIN,2014,42,,,,
1,BLACK MARLIN,2013,13,,,,
1,BLACK MARLIN,2012,28,,,,
1,BLACK MARLIN,2011,28,,,,
1,BLUE MARLIN,2015,3,,,,
1,BLUE MARLIN,2014,20,,,,
1,BLUE MARLIN,2013,10,,,,
1,BLUE MARLIN,2012,8,,,,
1,BLUE MARLIN,2011,32,,,,
1,SAILFISH (INDO-PACIFIC),2015,1,,,,
1,SAILFISH (INDO-PACIFIC),2014,8,,,,
1,SAILFISH (INDO-PACIFIC),2013,12,,,,
1,SAILFISH (INDO-PACIFIC),2012,6,,,,
1,SAILFISH (INDO-PACIFIC),2011,11,,,,
1,SHORT-BILLED SPEARFISH,2015,33,,,,
1,SHORT-BILLED SPEARFISH,2014,79,,,,
1,SHORT-BILLED SPEARFISH,2013,29,,,,
1,SHORT-BILLED SPEARFISH,2012,21,,,,
1,SHORT-BILLED SPEARFISH,2011,49,,,,
1,SKIPJACK,2015,172,,,,
1,SKIPJACK,2014,649,,,,
1,SKIPJACK,2013,239,,,,
1,SKIPJACK,2012,318,,,,
1,SKIPJACK,2011,382,,,,
1,STRIPED MARLIN,2015,21,,,,
1,STRIPED MARLIN,2014,58,,,,
1,STRIPED MARLIN,2013,69,,,,
1,STRIPED MARLIN,2012,41,,,,
1,STRIPED MARLIN,2011,63,,,,
1,SWORDFISH,2015,3,,,,
1,SWORDFISH,2014,16,,,,
1,SWORDFISH,2013,17,,,,
1,SWORDFISH,2012,12,,,,
1,SWORDFISH,2011,18,,,,
1,YELLOWFIN,2015,888,,,,
1,YELLOWFIN,2014,1699,,,,
1,YELLOWFIN,2013,1107,,,,
1,YELLOWFIN,2012,965,,,,
1,YELLOWFIN,2011,2476,,,,
