,year,time1,time2,FFmsy,MSY,BBmsy,SBSBmsy,Fmsy,BmsyB0,SBmsySB0
1,1952,244,240,0.005,918800,3.213,4.709,0.125,0.424,0.292
2,1953,240,236,0.008,886800,3.188,4.588,0.122,0.422,0.297
3,1954,236,232,0.008,882000,3.032,4.625,0.122,0.42,0.295
4,1955,232,228,0.008,932800,3.003,4.047,0.127,0.426,0.291
5,1956,228,224,0.008,910000,3.276,4.31,0.124,0.425,0.296
6,1957,224,220,0.009,983200,3.383,5.319,0.132,0.431,0.286
7,1958,220,216,0.011,968800,3.474,4.996,0.129,0.434,0.295
8,1959,216,212,0.01,983200,3.664,5.268,0.132,0.431,0.287
9,1960,212,208,0.011,1009200,3.562,5.923,0.135,0.434,0.284
10,1961,208,204,0.014,965200,3.102,5.214,0.129,0.434,0.295
11,1962,204,200,0.019,976400,2.721,3.914,0.131,0.432,0.289
12,1963,200,196,0.014,1010800,2.708,3.715,0.134,0.435,0.286
13,1964,196,192,0.013,952800,2.972,4.106,0.128,0.432,0.296
14,1965,192,188,0.011,990000,3.062,4.541,0.132,0.435,0.29
15,1966,188,184,0.014,1013600,2.923,4.963,0.135,0.435,0.284
16,1967,184,180,0.012,982800,2.63,4.055,0.13,0.436,0.294
17,1968,180,176,0.015,967200,2.374,3.535,0.128,0.438,0.301
18,1969,176,172,0.019,961200,2.18,3.271,0.128,0.434,0.297
19,1970,172,168,0.07,547200,2.498,2.679,0.084,0.376,0.315
20,1971,168,164,0.082,506800,2.66,2.946,0.08,0.368,0.312
21,1972,164,160,0.093,469200,2.596,3.432,0.076,0.357,0.305
22,1973,160,156,0.121,488800,2.313,2.786,0.078,0.362,0.31
23,1974,156,152,0.147,459200,2.202,2.395,0.075,0.354,0.305
24,1975,152,148,0.14,484800,2.084,2.503,0.078,0.36,0.307
25,1976,148,144,0.131,547200,2.002,2.188,0.084,0.377,0.316
26,1977,144,140,0.157,518800,2.271,2.328,0.081,0.371,0.316
27,1978,140,136,0.13,560400,2.43,2.825,0.085,0.381,0.319
28,1979,136,132,0.163,509600,2.506,3.134,0.08,0.369,0.313
29,1980,132,128,0.166,556800,2.294,2.837,0.085,0.377,0.315
30,1981,128,124,0.177,545600,2.248,2.655,0.086,0.368,0.303
31,1982,124,120,0.188,540800,2.231,2.572,0.086,0.366,0.3
32,1983,120,116,0.212,556000,2.247,2.721,0.088,0.365,0.294
33,1984,116,112,0.236,514400,2.239,2.68,0.083,0.359,0.294
34,1985,112,108,0.236,524400,2.216,2.577,0.084,0.362,0.298
35,1986,108,104,0.203,528400,2.317,2.619,0.085,0.359,0.292
36,1987,104,100,0.229,537600,2.385,2.821,0.086,0.364,0.296
37,1988,100,96,0.226,513200,2.457,2.89,0.082,0.36,0.298
38,1989,96,92,0.316,478400,2.451,3.004,0.08,0.347,0.286
39,1990,92,88,0.288,546800,2.262,2.804,0.088,0.36,0.288
40,1991,88,84,0.358,498400,2.28,2.443,0.082,0.352,0.287
41,1992,84,80,0.299,590400,2.139,2.735,0.093,0.367,0.285
42,1993,80,76,0.282,588400,1.967,2.484,0.092,0.369,0.291
43,1994,76,72,0.366,530400,1.896,2.187,0.085,0.362,0.297
44,1995,72,68,0.402,550000,1.812,2.116,0.087,0.366,0.295
45,1996,68,64,0.362,546400,1.778,2.141,0.087,0.362,0.292
46,1997,64,60,0.526,528400,1.685,1.883,0.085,0.361,0.294
47,1998,60,56,0.552,608000,1.54,1.863,0.094,0.376,0.296
48,1999,56,52,0.576,518000,1.551,1.626,0.084,0.356,0.289
49,2000,52,48,0.615,534000,1.495,1.726,0.086,0.358,0.288
50,2001,48,44,0.635,559200,1.403,1.545,0.088,0.368,0.297
51,2002,44,40,0.589,543600,1.4,1.525,0.086,0.365,0.298
52,2003,40,36,0.757,524800,1.355,1.497,0.084,0.364,0.298
53,2004,36,32,0.656,535200,1.388,1.55,0.087,0.357,0.287
54,2005,32,28,0.713,560800,1.319,1.375,0.089,0.366,0.294
55,2006,28,24,0.642,554400,1.3,1.472,0.088,0.363,0.292
56,2007,24,20,0.633,572000,1.314,1.383,0.09,0.368,0.295
57,2008,20,16,0.729,572400,1.311,1.41,0.09,0.37,0.298
58,2009,16,12,0.678,574400,1.283,1.46,0.091,0.367,0.292
59,2010,12,8,0.765,611600,1.197,1.326,0.094,0.376,0.295
60,2011,8,4,0.719,585200,1.192,1.294,0.092,0.37,0.295
